player_id,age,position,team,games_played,player_rating
P0274,29,Forward,Team 4,22,6.8
P0275,24,Goalkeeper,Team 12,24,3.9
P0276,25,Midfielder,Team 20,21,7.3
P0277,29,Defender,Team 14,34,6.2
P0278,27,Goalkeeper,Team 4,30,8.1
P0279,19,Midfielder,Team 6,31,6.2
P0280,35,Goalkeeper,Team 2,32,4.7
P0281,27,Defender,Team 9,39,7.6
P0282,31,Forward,Team 8,29,5.7
P0283,24,Forward,Team 8,33,6.4
P0284,33,Goalkeeper,Team 2,27,7.5
P0285,28,Defender,Team 10,27,6.4
P0286,29,Midfielder,Team 16,50,3
P0287,23,Midfielder,Team 14,28,7.4
P0288,32,Midfielder,Team 1,31,6.9
P0289,30,Goalkeeper,Team 5,42,5.7
P0290,32,Forward,Team 1,27,8.2
P0291,24,Goalkeeper,Team 12,43,8.1
P0292,25,Goalkeeper,Team 20,25,8.5
P0293,36,Goalkeeper,Team 4,31,6.3
P0294,23,Midfielder,Team 5,23,6.8
P0295,26,Defender,Team 16,27,5.3
P0296,32,Goalkeeper,Team 18,37,6
P0297,27,Midfielder,Team 11,31,6.4
P0298,29,Goalkeeper,Team 17,31,2
P0299,25,Goalkeeper,Team 7,25,7.1
P0300,28,Midfielder,Team 3,21,9.6
P0301,22,Defender,Team 18,22,6.5
P0302,34,Defender,Team 19,30,15
P0303,27,Forward,Team 2,20,6.2
P0304,24,Goalkeeper,Team 1,28,3.6
P0305,30,Forward,Team 2,34,6.5
P0306,47,Midfielder,Team 7,22,7.6
P0307,22,Goalkeeper,Team 5,25,6.5
P0308,22,Midfielder,Team 5,23,7.3
P0309,30,Forward,Team 16,34,8.7
P0310,26,Midfielder,Team 20,31,7.6
P0311,26,Midfielder,Team 7,33,4.4
P0312,31,Defender,Team 11,26,7.8
P0313,22,Goalkeeper,Team 17,32,5
P0314,24,Goalkeeper,Team 3,39,6.4
P0315,25,Goalkeeper,Team 15,24,8
P0316,27,Midfielder,Team 15,28,13
P0317,27,Defender,Team 15,33,7.4
P0318,26,Forward,Team 1,27,5.9
P0319,27,Goalkeeper,Team 8,23,7
P0320,27,Midfielder,Team 2,27,6.6
P0321,24,Defender,Team 5,23,8.1
P0322,24,Defender,Team 9,23,6.9
P0323,28,Goalkeeper,Team 16,33,6.2
P0324,23,Defender,Team 1,27,7.4
P0325,22,Defender,Team 4,36,8.2
P0326,26,Midfielder,Team 16,29,4.8
P0327,26,Forward,Team 11,29,7
P0328,36,Defender,Team 2,33,7.9
P0329,24,Forward,Team 4,29,6.4
P0330,31,Defender,Team 4,28,7.5
P0331,30,Defender,Team 3,35,4.9
P0332,22,Defender,Team 5,29,4.5
P0333,30,Goalkeeper,Team 11,30,7.3
P0334,22,Goalkeeper,Team 15,36,7.7
P0335,18,Goalkeeper,Team 10,41,3
P0336,29,Forward,Team 6,22,5.8
P0337,20,Forward,Team 20,24,6
P0338,29,Goalkeeper,Team 6,30,4.6
P0339,24,Forward,Team 4,25,7.9
P0340,34,Midfielder,Team 20,19,4.6
P0341,31,Forward,Team 17,28,6
P0342,25,Midfielder,Team 8,33,7.8
P0343,24,Goalkeeper,Team 11,27,7.1
P0344,22,Midfielder,Team 13,35,5.6
P0345,25,Goalkeeper,Team 5,24,4.2
P0346,26,Goalkeeper,Team 17,36,4.1
P0347,26,Goalkeeper,Team 13,28,8.1
P0348,28,Forward,Team 16,35,5.1
P0349,29,Defender,Team 11,29,6.3
P0350,28,Defender,Team 12,25,10
P0351,24,Midfielder,Team 15,33,5.9
P0352,21,Defender,Team 11,34,4.8
P0353,32,Goalkeeper,Team 20,20,10
P0354,24,Defender,Team 12,35,7.2
P0355,24,Midfielder,Team 7,30,5.1
P0356,25,Goalkeeper,Team 8,40,6
P0357,20,Forward,Team 1,24,5.5
P0358,25,Goalkeeper,Team 20,27,6.2
P0359,25,Goalkeeper,Team 3,33,6.2
P0360,29,Midfielder,Team 1,30,8.8
P0361,30,Forward,Team 1,28,8.1
P0362,27,Goalkeeper,Team 8,31,6.2
P0363,31,Forward,Team 19,24,6.9
P0364,28,Goalkeeper,Team 1,33,8.9
P0365,27,Goalkeeper,Team 3,38,7.6
P0366,28,Midfielder,Team 7,28,4.4
P0367,26,Goalkeeper,Team 13,40,6.2
P0368,25,Goalkeeper,Team 1,33,6.3
P0369,26,Goalkeeper,Team 9,32,8.7
P0370,22,Defender,Team 4,34,7.7
P0371,28,Forward,Team 14,32,7.8
P0372,23,Midfielder,Team 4,28,5.5
P0373,30,Midfielder,Team 7,30,7.1
P0374,26,Midfielder,Team 7,32,8
P0375,27,Goalkeeper,Team 7,38,5.9
P0376,29,Forward,Team 3,29,9.7
P0377,11,Defender,Team 16,25,6.1
P0378,21,Defender,Team 15,32,6.9
P0379,26,Midfielder,Team 19,37,5.9
P0380,31,Forward,Team 17,25,4.6
P0381,20,Defender,Team 12,25,6.7
P0382,29,Midfielder,Team 2,33,6
P0383,18,Defender,Team 11,28,7.4
P0384,23,Defender,Team 6,27,6
P0385,27,Forward,Team 16,25,6.4
P0386,20,Midfielder,Team 14,25,8.1
P0387,23,Defender,Team 5,30,5.5
P0388,21,Goalkeeper,Team 1,35,14
P0389,34,Goalkeeper,Team 14,33,6.9
P0390,28,Defender,Team 13,29,6.1
P0391,29,Forward,Team 7,35,7.9
P0392,26,Forward,Team 18,24,6.2
P0393,26,Defender,Team 18,26,6.9
P0394,21,Forward,Team 4,24,7
P0395,26,Forward,Team 1,24,7.5
P0396,24,Goalkeeper,Team 20,31,6.3
P0397,30,Midfielder,Team 18,36,5.9
P0398,32,Midfielder,Team 4,34,14
P0399,33,Defender,Team 14,22,6.8
P0400,30,Defender,Team 12,31,6.1
P0401,25,Defender,Team 18,33,6.4
P0402,23,Goalkeeper,Team 5,29,8
P0403,30,Goalkeeper,Team 16,21,7.3
P0404,28,Forward,Team 11,29,5.3
P0405,20,Goalkeeper,Team 7,35,6.9
P0406,28,Midfielder,Team 7,29,7.7
P0407,30,Goalkeeper,Team 17,28,5.5
P0408,27,Defender,Team 5,33,6
P0409,26,Midfielder,Team 4,40,8.8
P0410,24,Forward,Team 8,22,5.7
P0411,21,Midfielder,Team 1,33,5.4
P0412,30,Goalkeeper,Team 1,38,6.6
P0413,26,Goalkeeper,Team 9,27,6.6
P0414,26,Forward,Team 4,37,6
P0415,34,Defender,Team 7,31,7.6
P0416,30,Forward,Team 6,33,8.2
P0417,28,Forward,Team 8,33,7.5
P0418,28,Forward,Team 20,29,6.6
P0419,33,Forward,Team 14,26,5.8
P0420,34,Goalkeeper,Team 19,32,6.6
P0421,31,Defender,Team 18,36,5.1
P0422,29,Midfielder,Team 4,26,6.8
P0423,19,Defender,Team 9,23,6.2
P0424,27,Defender,Team 16,35,5.2
P0425,26,Forward,Team 12,33,6.1
P0426,27,Defender,Team 4,36,6.5
P0427,31,Forward,Team 13,33,6.3
P0428,18,Midfielder,Team 12,35,6.4
P0429,25,Forward,Team 18,16,6.5
P0430,28,Midfielder,Team 19,41,6
P0431,25,Defender,Team 11,37,9.1
P0432,21,Forward,Team 12,33,7.6
P0433,30,Goalkeeper,Team 16,32,7
P0434,28,Midfielder,Team 7,35,7.6
P0435,23,Defender,Team 4,35,7
P0436,28,Midfielder,Team 19,16,7
P0437,30,Forward,Team 4,37,5
P0438,27,Goalkeeper,Team 2,39,5.6
P0439,30,Midfielder,Team 11,26,15
P0440,27,Midfielder,Team 2,31,5.5
P0441,25,Midfielder,Team 11,32,5
P0442,22,Defender,Team 10,32,7.6
P0443,27,Goalkeeper,Team 14,25,5.7
P0444,28,Goalkeeper,Team 20,38,8
P0445,31,Goalkeeper,Team 3,34,6
P0446,27,Midfielder,Team 19,30,4.6
P0447,29,Midfielder,Team 8,28,8.9
P0448,23,Midfielder,Team 9,38,8.3
P0449,24,Midfielder,Team 6,36,6.2
P0450,27,Forward,Team 15,24,7.5
P0451,23,Forward,Team 20,30,5.8
P0452,30,Defender,Team 7,28,6.6
P0453,29,Midfielder,Team 1,29,7.7
P0454,28,Defender,Team 9,32,7.2
P0455,28,Goalkeeper,Team 16,21,7
P0456,35,Midfielder,Team 6,29,7
P0457,25,Forward,Team 4,27,12
P0458,18,Midfielder,Team 15,25,6.3
P0459,28,Goalkeeper,Team 9,29,6.5
P0460,27,Defender,Team 10,27,7.6
P0461,25,Midfielder,Team 5,30,8.1
P0462,23,Forward,Team 8,33,5.6
P0463,25,Goalkeeper,Team 2,38,6.9
P0464,28,Goalkeeper,Team 20,37,6.5
P0465,25,Defender,Team 14,35,7.5
P0466,37,Midfielder,Team 6,20,7
P0467,23,Forward,Team 9,31,6.1
P0468,24,Midfielder,Team 10,20,7.2
P0469,18,Forward,Team 8,35,3
P0470,28,Defender,Team 4,34,6.7
P0471,19,Goalkeeper,Team 16,27,6.5
P0472,25,Defender,Team 6,32,7.2
P0473,26,Goalkeeper,Team 10,30,7.5
P0474,24,Midfielder,Team 12,33,6.7
P0475,50,Goalkeeper,Team 4,24,7.4
P0476,31,Forward,Team 19,29,4.3
P0477,32,Defender,Team 4,29,4.1
P0478,23,Goalkeeper,Team 15,26,6.3
P0479,32,Goalkeeper,Team 10,27,5.2
P0480,29,Midfielder,Team 18,31,5.3
P0481,30,Midfielder,Team 16,21,6.4
P0482,31,Midfielder,Team 16,26,6.3
P0483,23,Forward,Team 10,30,6.9
P0484,25,Midfielder,Team 20,28,6.4
P0485,30,Goalkeeper,Team 8,42,6.9
P0486,18,Forward,Team 8,36,5.5
P0487,33,Midfielder,Team 6,32,6.7
P0488,29,Goalkeeper,Team 12,24,3
P0489,27,Forward,Team 13,26,5.4
P0490,28,Goalkeeper,Team 15,36,5.6
P0491,23,Midfielder,Team 15,30,6.7
P0492,26,Midfielder,Team 3,37,6.4
P0493,31,Forward,Team 2,32,6.8
P0494,32,Defender,Team 11,31,7.4
P0495,38,Goalkeeper,Team 6,26,6.7
P0496,27,Goalkeeper,Team 15,20,6.6
P0497,24,Defender,Team 1,32,6.2
P0498,25,Defender,Team 20,36,8.7
P0499,23,Goalkeeper,Team 8,36,6.1
P0500,27,Forward,Team 16,28,5.7
P0501,29,Defender,Team 16,37,5.9
P0502,27,Midfielder,Team 2,21,5.3
P0503,31,Forward,Team 1,36,5.9
P0504,26,Defender,Team 9,32,8.2
P0505,26,Midfielder,Team 18,24,8.7
P0506,25,Midfielder,Team 14,31,5.9
P0507,20,Goalkeeper,Team 15,25,7.5
P0508,21,Forward,Team 1,31,6.5
P0509,22,Defender,Team 6,33,7.2
P0510,32,Midfielder,Team 6,32,5.3
P0511,31,Goalkeeper,Team 14,31,6.2
P0512,32,Defender,Team 4,26,7.3
P0513,22,Midfielder,Team 14,26,4.4
P0514,19,Goalkeeper,Team 4,35,6.4
P0515,24,Midfielder,Team 9,36,6.1
P0516,28,Goalkeeper,Team 4,32,6.6
P0517,29,Goalkeeper,Team 10,29,8.7
P0518,31,Forward,Team 12,33,6
P0519,28,Defender,Team 4,34,6.3
P0520,34,Goalkeeper,Team 12,36,6
P0521,26,Midfielder,Team 12,27,4.9
P0522,23,Defender,Team 20,30,7.7
P0523,20,Defender,Team 11,26,4.5
P0524,23,Defender,Team 11,32,5.7
P0525,28,Forward,Team 5,31,5.2
P0526,23,Goalkeeper,Team 13,34,6.2
P0527,31,Goalkeeper,Team 3,36,7.3
P0528,33,Goalkeeper,Team 6,32,4.8
P0529,18,Goalkeeper,Team 16,31,4.4
P0530,30,Midfielder,Team 13,25,5.4
P0531,18,Goalkeeper,Team 18,25,6
P0532,29,Defender,Team 16,32,6.8
P0533,32,Goalkeeper,Team 10,33,6.6
P0534,27,Goalkeeper,Team 9,35,7.1
P0535,22,Goalkeeper,Team 4,27,6.3
P0536,25,Goalkeeper,Team 15,27,6.2
P0537,26,Forward,Team 17,31,7.5
P0538,26,Defender,Team 7,24,5.9
P0539,26,Forward,Team 20,27,5
P0540,27,Defender,Team 2,29,6.4
P0541,28,Goalkeeper,Team 16,38,7.3
P0542,22,Goalkeeper,Team 12,36,4.9
P0543,26,Defender,Team 8,41,8.9
P0544,33,Defender,Team 9,34,6.5
P0545,25,Forward,Team 4,35,7.5
P0546,25,Forward,Team 12,27,5.1
P0547,31,Midfielder,Team 8,38,6.6
P0548,18,Midfielder,Team 10,30,5.6
P0549,32,Forward,Team 14,27,7
P0550,24,Midfielder,Team 7,34,6.1
P0551,28,Forward,Team 8,37,7.2
P0552,27,Forward,Team 9,30,6.1
P0553,31,Forward,Team 6,32,5.5
P0554,26,Midfielder,Team 7,42,7.2
P0555,24,Defender,Team 4,22,7.3
P0556,32,Goalkeeper,Team 8,22,7.7
P0557,18,Midfielder,Team 19,24,7.4
P0558,27,Goalkeeper,Team 12,39,6
P0559,22,Goalkeeper,Team 19,27,7.8
P0560,24,Defender,Team 20,23,6.2
P0561,35,Midfielder,Team 18,30,6.3
P0562,27,Goalkeeper,Team 12,30,8.6
P0563,28,Defender,Team 2,27,6.4
P0564,20,Defender,Team 17,23,6.1
P0565,24,Forward,Team 15,29,5.7
P0566,28,Midfielder,Team 11,32,7
P0567,28,Goalkeeper,Team 11,23,6.4
P0568,29,Defender,Team 17,37,7.4
P0569,27,Goalkeeper,Team 16,36,5.7
P0570,29,Midfielder,Team 2,34,5.9
P0571,29,Forward,Team 11,23,7.1
P0572,20,Goalkeeper,Team 1,27,6.7
P0573,27,Forward,Team 20,30,7.4
P0574,30,Defender,Team 16,26,6.9
P0575,29,Forward,Team 17,28,6.9
P0576,26,Goalkeeper,Team 9,37,5.2
P0577,24,Midfielder,Team 10,36,7.2
P0578,23,Goalkeeper,Team 12,20,4.9
P0579,26,Goalkeeper,Team 1,45,6.4
P0580,32,Forward,Team 18,28,6.4
P0581,19,Forward,Team 8,31,7
P0582,24,Goalkeeper,Team 3,30,7.5
P0583,22,Forward,Team 7,35,7
P0584,30,Forward,Team 4,23,6.5
P0585,25,Midfielder,Team 14,32,7
P0586,25,Midfielder,Team 12,38,6.3
P0587,26,Defender,Team 12,31,7.2
P0588,29,Goalkeeper,Team 6,28,8.5
P0589,25,Forward,Team 17,32,5.1
P0590,18,Goalkeeper,Team 17,37,7.7
P0591,29,Defender,Team 14,32,7
P0592,29,Defender,Team 9,36,5.5
P0593,26,Midfielder,Team 7,26,5.9
P0594,23,Forward,Team 13,26,5.8
P0595,28,Forward,Team 11,32,6.9
P0596,29,Goalkeeper,Team 5,36,7.1
P0597,25,Midfielder,Team 9,38,7
P0598,26,Midfielder,Team 10,30,6.4
P0599,23,Midfielder,Team 16,36,5.7
P0600,26,Forward,Team 1,40,6.3
P0601,21,Defender,Team 8,26,5.1
P0602,29,Defender,Team 6,22,5.7
P0603,23,Forward,Team 7,29,7.4
P0604,28,Defender,Team 20,27,6.4
P0605,21,Goalkeeper,Team 16,31,4.8
P0606,25,Forward,Team 13,29,7.2
P0607,27,Forward,Team 1,31,6.9
P0608,20,Midfielder,Team 19,27,6.4
P0609,27,Forward,Team 18,23,7.3
P0610,25,Goalkeeper,Team 8,40,6.5
P0611,20,Midfielder,Team 2,27,6.8
P0612,22,Midfielder,Team 13,24,7.2
P0613,29,Defender,Team 17,29,4.9
P0614,31,Midfielder,Team 19,25,8
P0615,26,Goalkeeper,Team 8,35,6.3
P0616,29,Goalkeeper,Team 9,25,6.1
P0617,28,Defender,Team 9,24,6.2
P0618,28,Forward,Team 17,25,8.1
P0619,32,Goalkeeper,Team 15,34,6.8
P0620,21,Goalkeeper,Team 15,24,8.3
P0621,30,Defender,Team 8,41,7.4
P0622,25,Defender,Team 5,30,5.9
P0623,26,Defender,Team 17,35,7.7
P0624,26,Forward,Team 7,25,5.8
P0625,25,Forward,Team 11,26,7.1
